What is your age?,What is your gender?,What is your current educational level?,Are you or any of your family members scientist or health professional?,In what country are you currently in?,Are you interested in flu prevention?,Did you take the flu vaccine in the last 12 months?,"If you have children, did you vaccinate them or do you wish to vaccinate them?","What is, in your opinion, the best method we have to prevent flu spreading?",Is a vaccine necessary for a disease-free population?,How many times we have to typically take a flu shot? ,Is the flu shot accessible to all people? ,How does the flu spread?,Why is it important that you become immune from flu? ,What is the incubation period?,"In order to prevent flu spreading, what should you do? (Check all that applies)",Condition
58.0,Female,High School,No,Italy ,Yes,No,I do not have children,Vaccino,Yes,Only when flu spread particularly fast,I do not know,I do not know,"Because I will stay healthy and not infect people around me (friends, children, relatives)",I do not know,"Continue your normal life;Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Take vitamins;Avoid touching your eyes, nose, and mouth;Take the vaccine",Control
25.0,Male,Master degree,No,Italy ,Maybe,No,I do not have children,Isolation,No,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Wash often your hands,Experimental
55.0,Male,High School,No,Italy ,Yes,Yes,Yes,Vaccino,Yes,I do not know,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",I do not know,Take the vaccine,Control
27.0,Male,Bachelor degree,No,Italy ,Maybe,No,I do not have children,Vaccine and if it is not possible Use the Standard prevention measures (can be exluded 1 meter of distance) ,Yes,Once per year,I do not know,Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,Take the vaccine,Control
64.0,Male,Middle School,No,Italy ,Yes,No,I do not have children,I do not know,I do not know,I do not know,I do not know,I do not know,I do not know,I do not know,Take vitamins;Eat a lot of fruits and vegetables,Control
58.0,Male,High School,No,Italy ,Yes,Yes,Yes,Vaccino ,Yes,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the administration of the vaccine to the production of antibodies to fight the virus,Avoid close contact with people who are sick;Wash often your hair;Take the vaccine,Control
45.0,Male,Bachelor degree,No,Italy ,Yes,No,Yes,Vaccino,Yes,Twice per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",I do not know,"Avoid close contact with people who are sick;Help people who are sick;Stay home when you are sick;Avoid touching your eyes, nose, and mouth;Wash often your hands;Wash often your hair;Change often your clothes;Take the vaccine",Control
20.0,Male,Bachelor degree,Yes,USA,Yes,Yes,I do not have children,Vaccines and personal hygiene/cleanliness,No,Twice per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Avoid touching your eyes, nose, and mouth;Wash often your hands;Take the vaccine",Control
69.0,Female,Bachelor degree,Yes,Italy ,Yes,No,Yes,,Yes,Only when flu spread particularly fast,"Yes, all people can take a flu shot",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Cover your mouth and nose;Avoid touching your eyes, nose, and mouth;Wash often your hands",Control
42.0,Female,High School,No,Italy ,Yes,No,I do not have children,Vacine,Yes,Only when flu spread particularly fast,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Flu may spread from a person to any other,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,Avoid close contact with people who are sick;Cover your mouth and nose;Wash often your hands;Take the vaccine;Eat a lot of fruits and vegetables,Control
65.0,Female,High School,No,UK,Yes,No,Yes,Stay at home and rest,I do not know,I do not know,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Take vitamins;Wash often your hands;Eat a lot of fruits and vegetables,Control
53.0,Female,Middle School,No,Italy ,Maybe,No,Yes,,Yes,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment in which symptoms of the disease appear and the hospitalization takes place,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Take vitamins;Avoid touching your eyes, nose, and mouth;Wash often your hands;Wash often your hair;Change often your clothes;Take the vaccine;Take antibiotics",Experimental
70.0,Male,PhD or higher,No,Italy ,Yes,Yes,Yes,Vaccin,Yes,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Avoid touching your eyes, nose, and mouth;Wash often your hands;Take the vaccine",Experimental
62.0,Female,High School,Yes,Italy ,Yes,Yes,Yes,Vacinazione,Yes,Only when flu spread particularly fast,"Yes, all people can take a flu shot",Mainly person-to-person through respiratory droplets produced by an infected person,Because I will stay healthy,The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Avoid touching your eyes, nose, and mouth;Wash often your hands;Wash often your hair;Change often your clothes;Take the vaccine",Control
24.0,Male,PhD or higher,Yes,Jordan,Yes,No,I do not have children,Vaccine,No,I do not know,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Avoid touching your eyes, nose, and mouth;Wash often your hands;Take the vaccine",Experimental
64.0,Male,High School,No,Italy ,Yes,Yes,Yes,vaccine,Yes,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Avoid touching your eyes, nose, and mouth;Wash often your hands;Take the vaccine",Control
27.0,Female,Bachelor degree,No,Spain,Yes,No,I do not have children,Research and Vaccines,I do not know,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Take vitamins;Avoid touching your eyes, nose, and mouth;Wash often your hands;Change often your clothes;Take the vaccine;Eat a lot of fruits and vegetables",Control
30.0,Female,Master degree,Yes,Italy ,Yes,No,I do not have children,"Vaccine, hygiene",Yes,Only when flu spread particularly fast,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Avoid touching your eyes, nose, and mouth;Wash often your hands;Take the vaccine;Eat a lot of fruits and vegetables",Experimental
29.0,Female,Bachelor degree,No,Italy ,Yes,No,I do not have children,Vaccination,Yes,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Avoid touching your eyes, nose, and mouth;Wash often your hands;Take the vaccine",Control
26.0,Male,High School,No,Italy ,Maybe,No,Yes, increase research and medicinal development,I do not know,I do not know,I do not know,Flu may spread from a person to any other,"Because I will stay healthy and not infect people around me (friends, children, relatives)",I do not know,Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Take vitamins;Take the vaccine;Take antibiotics,Control
28.0,Male,Master degree,No,USA,Yes,Yes,I do not have children,Self protection ,I do not know,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Flu may spread from a person to any other,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Avoid touching your eyes, nose, and mouth;Wash often your hands;Take the vaccine",Control
29.0,Female,Master degree,Yes,Australia,Yes,Yes,I do not have children,Stay home when sick and rest,Yes,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Take vitamins;Avoid touching your eyes, nose, and mouth;Wash often your hands;Change often your clothes;Take the vaccine;Take antibiotics;Eat a lot of fruits and vegetables",Control
29.0,Female,PhD or higher,Yes,The Netherlands,Yes,No,I do not have children,Wash hands,I do not know,I do not know,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Avoid touching your eyes, nose, and mouth;Wash often your hands;Take the vaccine",Control
46.0,Female,High School,Yes,Italy ,Yes,No,Maybe,have a healthy life take care of the physical and cleanliness of the person,No,Only when flu spread particularly fast,"Yes, all people can take a flu shot",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Avoid touching your eyes, nose, and mouth;Wash often your hands",Experimental
48.0,Male,Middle School,Maybe,Italy ,No,No,No,Cover your mouth and nos,No,I do not know,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Take vitamins;Wash often your hands;Change often your clothes;Eat a lot of fruits and vegetables,Experimental
23.0,Female,Bachelor degree,Yes,Canada,Yes,Yes,I do not have children,Vaccine,Yes,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Avoid touching your eyes, nose, and mouth;Wash often your hands;Take the vaccine",Control
24.0,Female,Master degree,Yes,,Yes,No,,,Yes,Only once in a lifetime,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,Because I will stay healthy,I do not know,Stay home when you are sick,Control
47.0,Female,PhD or higher,Yes,Canada,Yes,No,I do not have children,Hand washing,Yes,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Avoid touching your eyes, nose, and mouth;Wash often your hands;Take the vaccine",Experimental
63.0,Female,Bachelor degree,Yes,UK,Yes,No,I do not have children,Vaccine,Yes,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Avoid touching your eyes, nose, and mouth;Wash often your hands;Take the vaccine;Eat a lot of fruits and vegetables",Control
19.0,Male,Bachelor degree,No,USA,Yes,Yes,I do not have children,Washing hands,No,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Avoid touching your eyes, nose, and mouth;Wash often your hands;Take the vaccine;Eat a lot of fruits and vegetables",Control
23.0,Female,Master degree,No,Italy ,Yes,No,I do not have children,,Yes,Twice per year,"Yes, all people can take a flu shot",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Help people who are sick;Stay home when you are sick;Cover your mouth and nose;Take vitamins;Avoid touching your eyes, nose, and mouth;Wash often your hands;Change often your clothes;Take the vaccine;Eat a lot of fruits and vegetables",Experimental
23.0,Male,Bachelor degree,No,Italy ,Yes,No,I do not have children,Self-isolation,I do not know,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Avoid touching your eyes, nose, and mouth;Wash often your hands;Take the vaccine;Eat a lot of fruits and vegetables",Experimental
23.0,Male,Bachelor degree,No,Italy ,Yes,No,I do not have children,,Yes,I do not know,I do not know,Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Stay home when you are sick;Cover your mouth and nose;Avoid touching your eyes, nose, and mouth;Wash often your hands;Eat a lot of fruits and vegetables",Control
23.0,Female,Bachelor degree,No,Italy ,Yes,No,I do not have children,Social distancing and vaccines,Yes,Once per year,I do not know,Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Avoid touching your eyes, nose, and mouth;Wash often your hands;Wash often your hair;Change often your clothes;Take the vaccine",Control
19.0,Male,Bachelor degree,Yes,USA,Yes,Yes,I do not have children,Vaccine,Yes,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Avoid touching your eyes, nose, and mouth;Wash often your hands;Take the vaccine",Control
20.0,Female,Bachelor degree,No,USA,Yes,No,I do not have children,Covering mouth when coughing and hand washing,I do not know,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the administration of the vaccine to the production of antibodies to fight the virus,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Avoid touching your eyes, nose, and mouth;Wash often your hands",Control
23.0,Female,Bachelor degree,No,Italy ,Yes,No,I do not have children,,Yes,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Avoid touching your eyes, nose, and mouth;Wash often your hands;Take the vaccine;Eat a lot of fruits and vegetables",Control
23.0,Male,Bachelor degree,No,Italy ,Yes,No,Maybe,Vaccine,Yes,I do not know,I do not know,Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Take vitamins;Avoid touching your eyes, nose, and mouth;Wash often your hands;Take the vaccine;Eat a lot of fruits and vegetables",Control
34.0,Male,PhD or higher,Yes,Italy ,Yes,No,Yes,"First of all, through the use of the basic rules of hygiene by the population.",Yes,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Take vitamins;Avoid touching your eyes, nose, and mouth;Wash often your hands;Eat a lot of fruits and vegetables",Control
46.0,Female,Master degree,No,Italy ,Yes,Yes,Yes,Take the vaccine,Yes,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Continue your normal life;Stay home when you are sick;Cover your mouth and nose;Take vitamins;Avoid touching your eyes, nose, and mouth;Wash often your hands;Take the vaccine",Control
46.0,Female,PhD or higher,Maybe,Italy ,Yes,No,Yes,Vaccine,Yes,Twice per year,I do not know,Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Avoid touching your eyes, nose, and mouth;Wash often your hands;Take the vaccine",Control
64.0,Male,Bachelor degree,No,Australia,Yes,Yes,I do not have children,Wash your hands often,Yes,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Avoid touching your eyes, nose, and mouth;Wash often your hands;Wash often your hair;Change often your clothes;Take the vaccine;Eat a lot of fruits and vegetables",Control
55.0,Female,PhD or higher,Yes,Italy ,Yes,No,Yes,Social distance ,Yes,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",I do not know,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Avoid touching your eyes, nose, and mouth;Wash often your hands",Control
29.0,Male,Bachelor degree,No,Italy ,Yes,No,I do not have children,"Eat and sleep well, workout/physical activity as well and avoid close contact with people who have the flu.",Yes,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Avoid touching your eyes, nose, and mouth;Wash often your hands;Change often your clothes;Take the vaccine",Control
27.0,Not answered,Bachelor degree,Maybe,Australia,Yes,No,I do not have children,Herd immunity,Yes,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Avoid touching your eyes, nose, and mouth;Wash often your hands;Take the vaccine",Control
23.0,Male,Bachelor degree,No,Italy ,Yes,No,I do not have children,avoid close contact with other people,Yes,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Help people who are sick;Stay home when you are sick;Cover your mouth and nose;Avoid touching your eyes, nose, and mouth;Wash often your hands;Take the vaccine",Experimental
